t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
1.204120e-01 9.561525e-02 9.043847e-01 3.540367e-01
1.208121e-01 9.622110e-02 9.037789e-01 3.540367e-01
1.212121e-01 9.682857e-02 9.031714e-01 3.540367e-01
1.216122e-01 9.743764e-02 9.025624e-01 3.540367e-01
1.220122e-01 9.804831e-02 9.019517e-01 3.540367e-01
1.224122e-01 9.866059e-02 9.013394e-01 3.540367e-01
1.228123e-01 9.927446e-02 9.007255e-01 3.540367e-01
1.232123e-01 9.988992e-02 9.001101e-01 3.540367e-01
1.236124e-01 1.005070e-01 8.994930e-01 3.540367e-01
1.240124e-01 1.011256e-01 8.988744e-01 3.540367e-01
1.244124e-01 1.017458e-01 8.982542e-01 3.540367e-01
1.248125e-01 1.023676e-01 8.976324e-01 3.540367e-01
1.252125e-01 1.029910e-01 8.970090e-01 3.540367e-01
1.256126e-01 1.036159e-01 8.963841e-01 3.540367e-01
1.260126e-01 1.042424e-01 8.957576e-01 3.540367e-01
1.264126e-01 1.048705e-01 8.951295e-01 3.540367e-01
1.268127e-01 1.055001e-01 8.944999e-01 3.540367e-01
1.272127e-01 1.061313e-01 8.938687e-01 3.540367e-01
1.276128e-01 1.067640e-01 8.932360e-01 3.540367e-01
1.280128e-01 1.073983e-01 8.926017e-01 3.540367e-01
1.284128e-01 1.080341e-01 8.919659e-01 3.540367e-01
1.288129e-01 1.086715e-01 8.913285e-01 3.540367e-01
1.292129e-01 1.093103e-01 8.906897e-01 3.540367e-01
1.296130e-01 1.099508e-01 8.900492e-01 3.540367e-01
1.300130e-01 1.105927e-01 8.894073e-01 3.540367e-01
1.304130e-01 1.112362e-01 8.887638e-01 3.540367e-01
1.308131e-01 1.118811e-01 8.881189e-01 3.540367e-01
1.312131e-01 1.125276e-01 8.874724e-01 3.540367e-01
1.316132e-01 1.131756e-01 8.868244e-01 3.540367e-01
1.320132e-01 1.138252e-01 8.861748e-01 3.540367e-01
1.324132e-01 1.144762e-01 8.855238e-01 3.540367e-01
1.328133e-01 1.151287e-01 8.848713e-01 3.540367e-01
1.332133e-01 1.157827e-01 8.842173e-01 3.540367e-01
1.336134e-01 1.164382e-01 8.835618e-01 3.540367e-01
1.340134e-01 1.170951e-01 8.829049e-01 3.540367e-01
1.344134e-01 1.177536e-01 8.822464e-01 3.540367e-01
1.348135e-01 1.184135e-01 8.815865e-01 3.540367e-01
1.352135e-01 1.190749e-01 8.809251e-01 3.540367e-01
1.356136e-01 1.197378e-01 8.802622e-01 3.540367e-01
1.360136e-01 1.204022e-01 8.795978e-01 3.540367e-01
1.364136e-01 1.210680e-01 8.789320e-01 3.540367e-01
1.368137e-01 1.217352e-01 8.782648e-01 3.540367e-01
1.372137e-01 1.224039e-01 8.775961e-01 3.540367e-01
1.376138e-01 1.230741e-01 8.769259e-01 3.540367e-01
1.380138e-01 1.237457e-01 8.762543e-01 3.540367e-01
1.384138e-01 1.244187e-01 8.755813e-01 3.540367e-01
1.388139e-01 1.250932e-01 8.749068e-01 3.540367e-01
1.392139e-01 1.257691e-01 8.742309e-01 3.540367e-01
1.396140e-01 1.264465e-01 8.735535e-01 3.540367e-01
1.400140e-01 1.271252e-01 8.728748e-01 3.540367e-01
1.404140e-01 1.278054e-01 8.721946e-01 3.540367e-01
1.408141e-01 1.284870e-01 8.715130e-01 3.540367e-01
1.412141e-01 1.291700e-01 8.708300e-01 3.540367e-01
1.416142e-01 1.298544e-01 8.701456e-01 3.540367e-01
1.420142e-01 1.305402e-01 8.694598e-01 3.540367e-01
1.424142e-01 1.312274e-01 8.687726e-01 3.540367e-01
1.428143e-01 1.319160e-01 8.680840e-01 3.540367e-01
1.432143e-01 1.326060e-01 8.673940e-01 3.540367e-01
1.436144e-01 1.332974e-01 8.667026e-01 3.540367e-01
1.440144e-01 1.339901e-01 8.660099e-01 3.540367e-01
1.444144e-01 1.346842e-01 8.653158e-01 3.540367e-01
1.448145e-01 1.353797e-01 8.646203e-01 3.540367e-01
1.452145e-01 1.360766e-01 8.639234e-01 3.540367e-01
1.456146e-01 1.367748e-01 8.632252e-01 3.540367e-01
1.460146e-01 1.374744e-01 8.625256e-01 3.540367e-01
1.464146e-01 1.381754e-01 8.618246e-01 3.540367e-01
1.468147e-01 1.388776e-01 8.611224e-01 3.540367e-01
1.472147e-01 1.395813e-01 8.604187e-01 3.540367e-01
1.476148e-01 1.402862e-01 8.597138e-01 3.540367e-01
