t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
8.720872e-02 5.199946e-02 9.480005e-01 3.540367e-01
8.760876e-02 5.246495e-02 9.475350e-01 3.540367e-01
8.800880e-02 5.293234e-02 9.470677e-01 3.540367e-01
8.840884e-02 5.340163e-02 9.465984e-01 3.540367e-01
8.880888e-02 5.387281e-02 9.461272e-01 3.540367e-01
8.920892e-02 5.434588e-02 9.456541e-01 3.540367e-01
8.960896e-02 5.482085e-02 9.451792e-01 3.540367e-01
9.000900e-02 5.529769e-02 9.447023e-01 3.540367e-01
9.040904e-02 5.577642e-02 9.442236e-01 3.540367e-01
9.080908e-02 5.625703e-02 9.437430e-01 3.540367e-01
9.120912e-02 5.673951e-02 9.432605e-01 3.540367e-01
9.160916e-02 5.722387e-02 9.427761e-01 3.540367e-01
9.200920e-02 5.771009e-02 9.422899e-01 3.540367e-01
9.240924e-02 5.819818e-02 9.418018e-01 3.540367e-01
9.280928e-02 5.868814e-02 9.413119e-01 3.540367e-01
9.320932e-02 5.917995e-02 9.408201e-01 3.540367e-01
9.360936e-02 5.967362e-02 9.403264e-01 3.540367e-01
9.400940e-02 6.016914e-02 9.398309e-01 3.540367e-01
9.440944e-02 6.066652e-02 9.393335e-01 3.540367e-01
9.480948e-02 6.116573e-02 9.388343e-01 3.540367e-01
9.520952e-02 6.166680e-02 9.383332e-01 3.540367e-01
9.560956e-02 6.216970e-02 9.378303e-01 3.540367e-01
9.600960e-02 6.267444e-02 9.373256e-01 3.540367e-01
9.640964e-02 6.318101e-02 9.368190e-01 3.540367e-01
9.680968e-02 6.368942e-02 9.363106e-01 3.540367e-01
9.720972e-02 6.419965e-02 9.358004e-01 3.540367e-01
9.760976e-02 6.471170e-02 9.352883e-01 3.540367e-01
9.800980e-02 6.522557e-02 9.347744e-01 3.540367e-01
9.840984e-02 6.574126e-02 9.342587e-01 3.540367e-01
9.880988e-02 6.625876e-02 9.337412e-01 3.540367e-01
9.920992e-02 6.677808e-02 9.332219e-01 3.540367e-01
9.960996e-02 6.729920e-02 9.327008e-01 3.540367e-01
1.000100e-01 6.782212e-02 9.321779e-01 3.540367e-01
1.004100e-01 6.834684e-02 9.316532e-01 3.540367e-01
1.008101e-01 6.887336e-02 9.311266e-01 3.540367e-01
1.012101e-01 6.940167e-02 9.305983e-01 3.540367e-01
1.016102e-01 6.993177e-02 9.300682e-01 3.540367e-01
1.020102e-01 7.046365e-02 9.295363e-01 3.540367e-01
1.024102e-01 7.099732e-02 9.290027e-01 3.540367e-01
1.028103e-01 7.153276e-02 9.284672e-01 3.540367e-01
1.032103e-01 7.206998e-02 9.279300e-01 3.540367e-01
1.036104e-01 7.260898e-02 9.273910e-01 3.540367e-01
1.040104e-01 7.314974e-02 9.268503e-01 3.540367e-01
1.044104e-01 7.369226e-02 9.263077e-01 3.540367e-01
1.048105e-01 7.423655e-02 9.257635e-01 3.540367e-01
1.052105e-01 7.478259e-02 9.252174e-01 3.540367e-01
1.056106e-01 7.533039e-02 9.246696e-01 3.540367e-01
1.060106e-01 7.587993e-02 9.241201e-01 3.540367e-01
1.064106e-01 7.643123e-02 9.235688e-01 3.540367e-01
1.068107e-01 7.698426e-02 9.230157e-01 3.540367e-01
1.072107e-01 7.753904e-02 9.224610e-01 3.540367e-01
1.076108e-01 7.809555e-02 9.219044e-01 3.540367e-01
1.080108e-01 7.865379e-02 9.213462e-01 3.540367e-01
1.084108e-01 7.921377e-02 9.207862e-01 3.540367e-01
1.088109e-01 7.977546e-02 9.202245e-01 3.540367e-01
1.092109e-01 8.033888e-02 9.196611e-01 3.540367e-01
1.096110e-01 8.090401e-02 9.190960e-01 3.540367e-01
1.100110e-01 8.147086e-02 9.185291e-01 3.540367e-01
1.104110e-01 8.203942e-02 9.179606e-01 3.540367e-01
1.108111e-01 8.260968e-02 9.173903e-01 3.540367e-01
1.112111e-01 8.318165e-02 9.168184e-01 3.540367e-01
1.116112e-01 8.375531e-02 9.162447e-01 3.540367e-01
1.120112e-01 8.433067e-02 9.156693e-01 3.540367e-01
1.124112e-01 8.490772e-02 9.150923e-01 3.540367e-01
1.128113e-01 8.548645e-02 9.145135e-01 3.540367e-01
1.132113e-01 8.606687e-02 9.139331e-01 3.540367e-01
1.136114e-01 8.664897e-02 9.133510e-01 3.540367e-01
1.140114e-01 8.723275e-02 9.127673e-01 3.540367e-01
1.144114e-01 8.781820e-02 9.121818e-01 3.540367e-01
1.148115e-01 8.840531e-02 9.115947e-01 3.540367e-01
1.152115e-01 8.899409e-02 9.110059e-01 3.540367e-01
1.156116e-01 8.958453e-02 9.104155e-01 3.540367e-01
1.160116e-01 9.017663e-02 9.098234e-01 3.540367e-01
1.164116e-01 9.077037e-02 9.092296e-01 3.540367e-01
1.168117e-01 9.136577e-02 9.086342e-01 3.540367e-01
1.172117e-01 9.196281e-02 9.080372e-01 3.540367e-01
1.176118e-01 9.256150e-02 9.074385e-01 3.540367e-01
1.180118e-01 9.316181e-02 9.068382e-01 3.540367e-01
1.184118e-01 9.376377e-02 9.062362e-01 3.540367e-01
1.188119e-01 9.436735e-02 9.056327e-01 3.540367e-01
1.192119e-01 9.497255e-02 9.050274e-01 3.540367e-01
1.196120e-01 9.557938e-02 9.044206e-01 3.540367e-01
1.200120e-01 9.618783e-02 9.038122e-01 3.540367e-01
1.204120e-01 9.679788e-02 9.032021e-01 3.540367e-01
1.208121e-01 9.740955e-02 9.025905e-01 3.540367e-01
1.212121e-01 9.802282e-02 9.019772e-01 3.540367e-01
1.216122e-01 9.863769e-02 9.013623e-01 3.540367e-01
1.220122e-01 9.925416e-02 9.007458e-01 3.540367e-01
1.224122e-01 9.987222e-02 9.001278e-01 3.540367e-01
1.228123e-01 1.004919e-01 8.995081e-01 3.540367e-01
1.232123e-01 1.011131e-01 8.988869e-01 3.540367e-01
1.236124e-01 1.017359e-01 8.982641e-01 3.540367e-01
1.240124e-01 1.023603e-01 8.976397e-01 3.540367e-01
1.244124e-01 1.029863e-01 8.970137e-01 3.540367e-01
1.248125e-01 1.036138e-01 8.963862e-01 3.540367e-01
1.252125e-01 1.042429e-01 8.957571e-01 3.540367e-01
1.256126e-01 1.048736e-01 8.951264e-01 3.540367e-01
1.260126e-01 1.055058e-01 8.944942e-01 3.540367e-01
1.264126e-01 1.061395e-01 8.938605e-01 3.540367e-01
1.268127e-01 1.067749e-01 8.932251e-01 3.540367e-01
1.272127e-01 1.074117e-01 8.925883e-01 3.540367e-01
1.276128e-01 1.080501e-01 8.919499e-01 3.540367e-01
1.280128e-01 1.086900e-01 8.913100e-01 3.540367e-01
1.284128e-01 1.093315e-01 8.906685e-01 3.540367e-01
1.288129e-01 1.099745e-01 8.900255e-01 3.540367e-01
1.292129e-01 1.106190e-01 8.893810e-01 3.540367e-01
1.296130e-01 1.112650e-01 8.887350e-01 3.540367e-01
1.300130e-01 1.119126e-01 8.880874e-01 3.540367e-01
1.304130e-01 1.125616e-01 8.874384e-01 3.540367e-01
1.308131e-01 1.132122e-01 8.867878e-01 3.540367e-01
1.312131e-01 1.138642e-01 8.861358e-01 3.540367e-01
1.316132e-01 1.145178e-01 8.854822e-01 3.540367e-01
1.320132e-01 1.151728e-01 8.848272e-01 3.540367e-01
1.324132e-01 1.158294e-01 8.841706e-01 3.540367e-01
1.328133e-01 1.164874e-01 8.835126e-01 3.540367e-01
1.332133e-01 1.171469e-01 8.828531e-01 3.540367e-01
1.336134e-01 1.178079e-01 8.821921e-01 3.540367e-01
1.340134e-01 1.184703e-01 8.815297e-01 3.540367e-01
1.344134e-01 1.191342e-01 8.808658e-01 3.540367e-01
1.348135e-01 1.197996e-01 8.802004e-01 3.540367e-01
1.352135e-01 1.204664e-01 8.795336e-01 3.540367e-01
1.356136e-01 1.211347e-01 8.788653e-01 3.540367e-01
1.360136e-01 1.218045e-01 8.781955e-01 3.540367e-01
1.364136e-01 1.224756e-01 8.775244e-01 3.540367e-01
1.368137e-01 1.231483e-01 8.768517e-01 3.540367e-01
1.372137e-01 1.238223e-01 8.761777e-01 3.540367e-01
1.376138e-01 1.244978e-01 8.755022e-01 3.540367e-01
1.380138e-01 1.251747e-01 8.748253e-01 3.540367e-01
1.384138e-01 1.258531e-01 8.741469e-01 3.540367e-01
1.388139e-01 1.265328e-01 8.734672e-01 3.540367e-01
1.392139e-01 1.272140e-01 8.727860e-01 3.540367e-01
1.396140e-01 1.278966e-01 8.721034e-01 3.540367e-01
1.400140e-01 1.285805e-01 8.714195e-01 3.540367e-01
1.404140e-01 1.292659e-01 8.707341e-01 3.540367e-01
1.408141e-01 1.299527e-01 8.700473e-01 3.540367e-01
1.412141e-01 1.306409e-01 8.693591e-01 3.540367e-01
1.416142e-01 1.313304e-01 8.686696e-01 3.540367e-01
1.420142e-01 1.320214e-01 8.679786e-01 3.540367e-01
1.424142e-01 1.327137e-01 8.672863e-01 3.540367e-01
1.428143e-01 1.334074e-01 8.665926e-01 3.540367e-01
1.432143e-01 1.341024e-01 8.658976e-01 3.540367e-01
1.436144e-01 1.347989e-01 8.652011e-01 3.540367e-01
1.440144e-01 1.354967e-01 8.645033e-01 3.540367e-01
1.444144e-01 1.361958e-01 8.638042e-01 3.540367e-01
1.448145e-01 1.368963e-01 8.631037e-01 3.540367e-01
1.452145e-01 1.375981e-01 8.624019e-01 3.540367e-01
1.456146e-01 1.383013e-01 8.616987e-01 3.540367e-01
1.460146e-01 1.390058e-01 8.609942e-01 3.540367e-01
1.464146e-01 1.397116e-01 8.602884e-01 3.540367e-01
1.468147e-01 1.404188e-01 8.595812e-01 3.540367e-01
1.472147e-01 1.411273e-01 8.588727e-01 3.540367e-01
1.476148e-01 1.418371e-01 8.581629e-01 3.540367e-01
1.480148e-01 1.425482e-01 8.574518e-01 3.540367e-01
1.484148e-01 1.432607e-01 8.567393e-01 3.540367e-01
1.488149e-01 1.439744e-01 8.560256e-01 3.540367e-01
1.492149e-01 1.446895e-01 8.553105e-01 3.540367e-01
1.496150e-01 1.454058e-01 8.545942e-01 3.540367e-01
1.500150e-01 1.461234e-01 8.538766e-01 3.540367e-01
1.504150e-01 1.468423e-01 8.531577e-01 3.540367e-01
1.508151e-01 1.475625e-01 8.524375e-01 3.540367e-01
1.512151e-01 1.482840e-01 8.517160e-01 3.540367e-01
1.516152e-01 1.490067e-01 8.509933e-01 3.540367e-01
1.520152e-01 1.497307e-01 8.502693e-01 3.540367e-01
1.524152e-01 1.504560e-01 8.495440e-01 3.540367e-01
1.528153e-01 1.511825e-01 8.488175e-01 3.540367e-01
1.532153e-01 1.519102e-01 8.480898e-01 3.540367e-01
1.536154e-01 1.526393e-01 8.473607e-01 3.540367e-01
1.540154e-01 1.533695e-01 8.466305e-01 3.540367e-01
1.544154e-01 1.541010e-01 8.458990e-01 3.540367e-01
1.548155e-01 1.548338e-01 8.451662e-01 3.540367e-01
1.552155e-01 1.555677e-01 8.444323e-01 3.540367e-01
1.556156e-01 1.563029e-01 8.436971e-01 3.540367e-01
1.560156e-01 1.570393e-01 8.429607e-01 3.540367e-01
1.564156e-01 1.577769e-01 8.422231e-01 3.540367e-01
1.568157e-01 1.585157e-01 8.414843e-01 3.540367e-01
1.572157e-01 1.592558e-01 8.407442e-01 3.540367e-01
1.576158e-01 1.599970e-01 8.400030e-01 3.540367e-01
1.580158e-01 1.607394e-01 8.392606e-01 3.540367e-01
1.584158e-01 1.614830e-01 8.385170e-01 3.540367e-01
1.588159e-01 1.622278e-01 8.377722e-01 3.540367e-01
1.592159e-01 1.629738e-01 8.370262e-01 3.540367e-01
1.596160e-01 1.637209e-01 8.362791e-01 3.540367e-01
1.600160e-01 1.644693e-01 8.355307e-01 3.540367e-01
1.604160e-01 1.652187e-01 8.347813e-01 3.540367e-01
1.608161e-01 1.659694e-01 8.340306e-01 3.540367e-01
1.612161e-01 1.667212e-01 8.332788e-01 3.540367e-01
1.616162e-01 1.674741e-01 8.325259e-01 3.540367e-01
1.620162e-01 1.682282e-01 8.317718e-01 3.540367e-01
1.624162e-01 1.689835e-01 8.310165e-01 3.540367e-01
1.628163e-01 1.697398e-01 8.302602e-01 3.540367e-01
1.632163e-01 1.704973e-01 8.295027e-01 3.540367e-01
1.636164e-01 1.712560e-01 8.287440e-01 3.540367e-01
1.640164e-01 1.720157e-01 8.279843e-01 3.540367e-01
1.644164e-01 1.727766e-01 8.272234e-01 3.540367e-01
1.648165e-01 1.735385e-01 8.264615e-01 3.540367e-01
1.652165e-01 1.743016e-01 8.256984e-01 3.540367e-01
1.656166e-01 1.750658e-01 8.249342e-01 3.540367e-01
1.660166e-01 1.758311e-01 8.241689e-01 3.540367e-01
1.664166e-01 1.765974e-01 8.234026e-01 3.540367e-01
1.668167e-01 1.773649e-01 8.226351e-01 3.540367e-01
1.672167e-01 1.781334e-01 8.218666e-01 3.540367e-01
1.676168e-01 1.789030e-01 8.210970e-01 3.540367e-01
1.680168e-01 1.796737e-01 8.203263e-01 3.540367e-01
1.684168e-01 1.804455e-01 8.195545e-01 3.540367e-01
1.688169e-01 1.812183e-01 8.187817e-01 3.540367e-01
1.692169e-01 1.819921e-01 8.180079e-01 3.540367e-01
1.696170e-01 1.827670e-01 8.172330e-01 3.540367e-01
1.700170e-01 1.835430e-01 8.164570e-01 3.540367e-01
1.704170e-01 1.843200e-01 8.156800e-01 3.540367e-01
1.708171e-01 1.850980e-01 8.149020e-01 3.540367e-01
1.712171e-01 1.858771e-01 8.141229e-01 3.540367e-01
1.716172e-01 1.866571e-01 8.133429e-01 3.540367e-01
1.720172e-01 1.874383e-01 8.125617e-01 3.540367e-01
1.724172e-01 1.882204e-01 8.117796e-01 3.540367e-01
1.728173e-01 1.890035e-01 8.109965e-01 3.540367e-01
1.732173e-01 1.897876e-01 8.102124e-01 3.540367e-01
