x prob_density
-8.224556e-01 2.299731e-07
-8.182046e-01 2.330623e-07
-8.139535e-01 2.361916e-07
-8.097024e-01 2.393613e-07
-8.054514e-01 2.425720e-07
-8.012003e-01 2.458241e-07
-7.969492e-01 2.491183e-07
-7.926982e-01 2.524550e-07
-7.884471e-01 2.558348e-07
-7.841960e-01 2.592581e-07
-7.799450e-01 2.627255e-07
-7.756939e-01 2.662376e-07
-7.714429e-01 2.697949e-07
-7.671918e-01 2.733980e-07
-7.629407e-01 2.770474e-07
-7.586897e-01 2.807438e-07
-7.544386e-01 2.844876e-07
-7.501875e-01 2.882795e-07
-7.459365e-01 2.921200e-07
-7.416854e-01 2.960098e-07
-7.374344e-01 2.999495e-07
-7.331833e-01 3.039397e-07
-7.289322e-01 3.079809e-07
-7.246812e-01 3.120739e-07
-7.204301e-01 3.162193e-07
-7.161790e-01 3.204176e-07
-7.119280e-01 3.246696e-07
-7.076769e-01 3.289760e-07
-7.034259e-01 3.333372e-07
-6.991748e-01 3.377542e-07
-6.949237e-01 3.422274e-07
-6.906727e-01 3.467577e-07
-6.864216e-01 3.513457e-07
-6.821705e-01 3.559921e-07
-6.779195e-01 3.606976e-07
-6.736684e-01 3.654630e-07
-6.694174e-01 3.702889e-07
-6.651663e-01 3.751762e-07
-6.609152e-01 3.801255e-07
-6.566642e-01 3.851377e-07
-6.524131e-01 3.902134e-07
-6.481620e-01 3.953534e-07
-6.439110e-01 4.005586e-07
-6.396599e-01 4.058298e-07
-6.354089e-01 4.111676e-07
-6.311578e-01 4.165730e-07
-6.269067e-01 4.220467e-07
-6.226557e-01 4.275896e-07
-6.184046e-01 4.332025e-07
-6.141535e-01 4.388862e-07
-6.099025e-01 4.446417e-07
-6.056514e-01 4.504697e-07
-6.014004e-01 4.563712e-07
-5.971493e-01 4.623471e-07
-5.928982e-01 4.683982e-07
-5.886472e-01 4.745254e-07
-5.843961e-01 4.807297e-07
-5.801450e-01 4.870119e-07
-5.758940e-01 4.933731e-07
-5.716429e-01 4.998142e-07
-5.673918e-01 5.063361e-07
-5.631408e-01 5.129398e-07
-5.588897e-01 5.196263e-07
-5.546387e-01 5.263966e-07
-5.503876e-01 5.332516e-07
-5.461365e-01 5.401925e-07
-5.418855e-01 5.472201e-07
-5.376344e-01 5.543357e-07
-5.333833e-01 5.615401e-07
