p rho_p
3.383346e+00 2.340877e-30
3.390848e+00 2.496468e-30
3.398350e+00 2.662315e-30
3.405851e+00 2.839090e-30
3.413353e+00 3.027506e-30
3.420855e+00 3.228322e-30
3.428357e+00 3.442350e-30
3.435859e+00 3.670450e-30
3.443361e+00 3.913540e-30
3.450863e+00 4.172597e-30
3.458365e+00 4.448660e-30
3.465866e+00 4.742837e-30
3.473368e+00 5.056306e-30
3.480870e+00 5.390322e-30
3.488372e+00 5.746221e-30
3.495874e+00 6.125423e-30
3.503376e+00 6.529442e-30
3.510878e+00 6.959889e-30
3.518380e+00 7.418476e-30
3.525881e+00 7.907030e-30
3.533383e+00 8.427490e-30
3.540885e+00 8.981924e-30
3.548387e+00 9.572530e-30
3.555889e+00 1.020165e-29
3.563391e+00 1.087177e-29
3.570893e+00 1.158554e-29
3.578395e+00 1.234578e-29
3.585896e+00 1.315550e-29
3.593398e+00 1.401788e-29
3.600900e+00 1.493631e-29
3.608402e+00 1.591442e-29
3.615904e+00 1.695605e-29
3.623406e+00 1.806528e-29
3.630908e+00 1.924646e-29
3.638410e+00 2.050424e-29
3.645911e+00 2.184352e-29
3.653413e+00 2.326954e-29
3.660915e+00 2.478788e-29
3.668417e+00 2.640445e-29
3.675919e+00 2.812557e-29
3.683421e+00 2.995794e-29
3.690923e+00 3.190868e-29
3.698425e+00 3.398537e-29
3.705926e+00 3.619608e-29
3.713428e+00 3.854938e-29
3.720930e+00 4.105439e-29
3.728432e+00 4.372081e-29
3.735934e+00 4.655895e-29
3.743436e+00 4.957976e-29
3.750938e+00 5.279492e-29
3.758440e+00 5.621681e-29
3.765941e+00 5.985861e-29
3.773443e+00 6.373433e-29
3.780945e+00 6.785886e-29
3.788447e+00 7.224806e-29
3.795949e+00 7.691874e-29
3.803451e+00 8.188880e-29
3.810953e+00 8.717728e-29
3.818455e+00 9.280438e-29
3.825956e+00 9.879162e-29
3.833458e+00 1.051618e-28
3.840960e+00 1.119393e-28
3.848462e+00 1.191498e-28
3.855964e+00 1.268209e-28
3.863466e+00 1.349816e-28
3.870968e+00 1.436629e-28
3.878470e+00 1.528978e-28
3.885971e+00 1.627212e-28
3.893473e+00 1.731704e-28
3.900975e+00 1.842849e-28
3.908477e+00 1.961065e-28
3.915979e+00 2.086801e-28
3.923481e+00 2.220528e-28
3.930983e+00 2.362752e-28
3.938485e+00 2.514007e-28
3.945986e+00 2.674861e-28
3.953488e+00 2.845918e-28
3.960990e+00 3.027821e-28
3.968492e+00 3.221249e-28
3.975994e+00 3.426929e-28
3.983496e+00 3.645627e-28
3.990998e+00 3.878163e-28
3.998500e+00 4.125402e-28
4.006002e+00 4.388266e-28
4.013503e+00 4.667735e-28
4.021005e+00 4.964848e-28
4.028507e+00 5.280709e-28
4.036009e+00 5.616491e-28
4.043511e+00 5.973439e-28
4.051013e+00 6.352875e-28
4.058515e+00 6.756203e-28
4.066017e+00 7.184915e-28
4.073518e+00 7.640594e-28
4.081020e+00 8.124922e-28
4.088522e+00 8.639682e-28
4.096024e+00 9.186772e-28
4.103526e+00 9.768202e-28
4.111028e+00 1.038611e-27
4.118530e+00 1.104276e-27
4.126032e+00 1.174057e-27
4.133533e+00 1.248208e-27
4.141035e+00 1.327002e-27
4.148537e+00 1.410727e-27
4.156039e+00 1.499687e-27
4.163541e+00 1.594208e-27
4.171043e+00 1.694633e-27
4.178545e+00 1.801330e-27
4.186047e+00 1.914685e-27
4.193548e+00 2.035111e-27
4.201050e+00 2.163044e-27
4.208552e+00 2.298949e-27
4.216054e+00 2.443317e-27
4.223556e+00 2.596671e-27
4.231058e+00 2.759566e-27
4.238560e+00 2.932589e-27
4.246062e+00 3.116364e-27
4.253563e+00 3.311554e-27
4.261065e+00 3.518861e-27
4.268567e+00 3.739030e-27
4.276069e+00 3.972853e-27
4.283571e+00 4.221169e-27
4.291073e+00 4.484867e-27
4.298575e+00 4.764892e-27
4.306077e+00 5.062246e-27
4.313578e+00 5.377991e-27
4.321080e+00 5.713254e-27
4.328582e+00 6.069231e-27
4.336084e+00 6.447189e-27
4.343586e+00 6.848475e-27
4.351088e+00 7.274515e-27
4.358590e+00 7.726821e-27
4.366092e+00 8.206998e-27
4.373593e+00 8.716749e-27
4.381095e+00 9.257876e-27
4.388597e+00 9.832296e-27
4.396099e+00 1.044204e-26
4.403601e+00 1.108925e-26
4.411103e+00 1.177622e-26
4.418605e+00 1.250536e-26
4.426107e+00 1.327924e-26
4.433608e+00 1.410058e-26
4.441110e+00 1.497226e-26
4.448612e+00 1.589734e-26
4.456114e+00 1.687907e-26
4.463616e+00 1.792087e-26
4.471118e+00 1.902639e-26
4.478620e+00 2.019949e-26
4.486122e+00 2.144427e-26
4.493623e+00 2.276506e-26
4.501125e+00 2.416646e-26
4.508627e+00 2.565334e-26
4.516129e+00 2.723088e-26
4.523631e+00 2.890455e-26
4.531133e+00 3.068014e-26
4.538635e+00 3.256382e-26
4.546137e+00 3.456210e-26
4.553638e+00 3.668188e-26
4.561140e+00 3.893049e-26
4.568642e+00 4.131567e-26
4.576144e+00 4.384566e-26
4.583646e+00 4.652915e-26
4.591148e+00 4.937538e-26
4.598650e+00 5.239412e-26
4.606152e+00 5.559572e-26
4.613653e+00 5.899117e-26
4.621155e+00 6.259208e-26
4.628657e+00 6.641078e-26
4.636159e+00 7.046031e-26
4.643661e+00 7.475450e-26
4.651163e+00 7.930798e-26
4.658665e+00 8.413627e-26
4.666167e+00 8.925579e-26
4.673668e+00 9.468395e-26
4.681170e+00 1.004392e-25
4.688672e+00 1.065410e-25
4.696174e+00 1.130101e-25
4.703676e+00 1.198683e-25
4.711178e+00 1.271388e-25
4.718680e+00 1.348463e-25
4.726182e+00 1.430167e-25
4.733683e+00 1.516775e-25
4.741185e+00 1.608579e-25
4.748687e+00 1.705888e-25
4.756189e+00 1.809029e-25
4.763691e+00 1.918347e-25
4.771193e+00 2.034210e-25
4.778695e+00 2.157006e-25
4.786197e+00 2.287144e-25
4.793698e+00 2.425061e-25
4.801200e+00 2.571217e-25
4.808702e+00 2.726098e-25
4.816204e+00 2.890222e-25
4.823706e+00 3.064133e-25
4.831208e+00 3.248411e-25
4.838710e+00 3.443668e-25
4.846212e+00 3.650550e-25
4.853713e+00 3.869745e-25
4.861215e+00 4.101976e-25
4.868717e+00 4.348013e-25
4.876219e+00 4.608668e-25
