t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
8.160816e-02 4.991595e-02 9.500840e-01 3.540367e-01
8.200820e-02 5.039085e-02 9.496091e-01 3.540367e-01
8.240824e-02 5.086777e-02 9.491322e-01 3.540367e-01
8.280828e-02 5.134671e-02 9.486533e-01 3.540367e-01
8.320832e-02 5.182766e-02 9.481723e-01 3.540367e-01
8.360836e-02 5.231061e-02 9.476894e-01 3.540367e-01
8.400840e-02 5.279557e-02 9.472044e-01 3.540367e-01
8.440844e-02 5.328252e-02 9.467175e-01 3.540367e-01
8.480848e-02 5.377147e-02 9.462285e-01 3.540367e-01
8.520852e-02 5.426241e-02 9.457376e-01 3.540367e-01
8.560856e-02 5.475534e-02 9.452447e-01 3.540367e-01
8.600860e-02 5.525024e-02 9.447498e-01 3.540367e-01
8.640864e-02 5.574712e-02 9.442529e-01 3.540367e-01
8.680868e-02 5.624598e-02 9.437540e-01 3.540367e-01
8.720872e-02 5.674680e-02 9.432532e-01 3.540367e-01
8.760876e-02 5.724958e-02 9.427504e-01 3.540367e-01
8.800880e-02 5.775433e-02 9.422457e-01 3.540367e-01
8.840884e-02 5.826102e-02 9.417390e-01 3.540367e-01
8.880888e-02 5.876967e-02 9.412303e-01 3.540367e-01
8.920892e-02 5.928026e-02 9.407197e-01 3.540367e-01
8.960896e-02 5.979279e-02 9.402072e-01 3.540367e-01
9.000900e-02 6.030726e-02 9.396927e-01 3.540367e-01
9.040904e-02 6.082366e-02 9.391763e-01 3.540367e-01
9.080908e-02 6.134198e-02 9.386580e-01 3.540367e-01
9.120912e-02 6.186223e-02 9.381378e-01 3.540367e-01
9.160916e-02 6.238439e-02 9.376156e-01 3.540367e-01
9.200920e-02 6.290846e-02 9.370915e-01 3.540367e-01
9.240924e-02 6.343445e-02 9.365656e-01 3.540367e-01
9.280928e-02 6.396234e-02 9.360377e-01 3.540367e-01
9.320932e-02 6.449212e-02 9.355079e-01 3.540367e-01
9.360936e-02 6.502380e-02 9.349762e-01 3.540367e-01
9.400940e-02 6.555737e-02 9.344426e-01 3.540367e-01
9.440944e-02 6.609282e-02 9.339072e-01 3.540367e-01
9.480948e-02 6.663015e-02 9.333698e-01 3.540367e-01
9.520952e-02 6.716936e-02 9.328306e-01 3.540367e-01
9.560956e-02 6.771043e-02 9.322896e-01 3.540367e-01
9.600960e-02 6.825337e-02 9.317466e-01 3.540367e-01
9.640964e-02 6.879817e-02 9.312018e-01 3.540367e-01
9.680968e-02 6.934483e-02 9.306552e-01 3.540367e-01
9.720972e-02 6.989334e-02 9.301067e-01 3.540367e-01
9.760976e-02 7.044369e-02 9.295563e-01 3.540367e-01
9.800980e-02 7.099588e-02 9.290041e-01 3.540367e-01
9.840984e-02 7.154991e-02 9.284501e-01 3.540367e-01
9.880988e-02 7.210577e-02 9.278942e-01 3.540367e-01
9.920992e-02 7.266345e-02 9.273365e-01 3.540367e-01
9.960996e-02 7.322296e-02 9.267770e-01 3.540367e-01
1.000100e-01 7.378428e-02 9.262157e-01 3.540367e-01
1.004100e-01 7.434741e-02 9.256526e-01 3.540367e-01
1.008101e-01 7.491235e-02 9.250876e-01 3.540367e-01
1.012101e-01 7.547909e-02 9.245209e-01 3.540367e-01
1.016102e-01 7.604762e-02 9.239524e-01 3.540367e-01
1.020102e-01 7.661795e-02 9.233821e-01 3.540367e-01
1.024102e-01 7.719006e-02 9.228099e-01 3.540367e-01
1.028103e-01 7.776395e-02 9.222360e-01 3.540367e-01
1.032103e-01 7.833962e-02 9.216604e-01 3.540367e-01
1.036104e-01 7.891706e-02 9.210829e-01 3.540367e-01
1.040104e-01 7.949626e-02 9.205037e-01 3.540367e-01
1.044104e-01 8.007722e-02 9.199228e-01 3.540367e-01
1.048105e-01 8.065994e-02 9.193401e-01 3.540367e-01
